"","year","name","percent_farm_tractor","fips"
"1",1925,"AUTAUGA",0.0142804833394361,1001
"2",1925,"BALDWIN",0.0676,1003
"3",1925,"BARBOUR",0.00471175166297118,1005
"4",1925,"BIBB",0.00676056338028169,1007
"5",1925,"BLOUNT",0.00595238095238095,1009
"6",1925,"BULLOCK",0.000665335994677312,1011
"7",1925,"BUTLER",0.0101648351648352,1013
"8",1925,"CALHOUN/BENTON",0.0212765957446809,1015
"9",1925,"CHAMBERS",0.00465941868205014,1017
"10",1925,"CHEROKEE",0.0202808112324493,1019
"11",1925,"CHILTON/BAKER",0.0032410135533294,1021
"12",1925,"CHOCTAW",0.00752545374059318,1023
"13",1925,"CLARKE",0.00167317345231456,1025
"14",1925,"CLAY",0.00410958904109589,1027
"15",1925,"CLEBURNE",0.0117762512266928,1029
"16",1925,"COFFEE",0.0034,1031
"17",1925,"COLBERT",0.00583203732503888,1033
"18",1925,"CONECUH",0.00578034682080925,1035
"19",1925,"COOSA",0.00614182021217197,1037
"20",1925,"COVINGTON",0.00370713623725672,1039
"21",1925,"CRENSHAW",0.0052111903455842,1041
"22",1925,"CULLMAN",0.00422405876951332,1043
"23",1925,"DALE",0.00256492465533825,1045
"24",1925,"DALLAS",0.00575234635180139,1047
"25",1925,"DE KALB",0.0102683007618417,1049
"26",1925,"ELMORE",0.010825114265095,1051
"27",1925,"ESCAMBIA",0.00574437529918621,1053
"28",1925,"ETOWAH",0.014544375185515,1055
"29",1925,"FAYETTE",0.00903732809430255,1057
"30",1925,"FRANKLIN",0.00700073691967576,1059
"31",1925,"GENEVA",0.00588078053996258,1061
"32",1925,"GREENE",0.00563286944996687,1063
"33",1925,"HALE",0.0128415300546448,1065
"34",1925,"HENRY",0.0042004200420042,1067
"35",1925,"HOUSTON",0.00440324449594438,1069
"36",1925,"JACKSON",0.0161425576519916,1071
"37",1925,"JEFFERSON",0.00856638951877047,1073
"38",1925,"LAMAR/SANFORD",0.00745156482861401,1075
"39",1925,"LAUDERDALE",0.014988389275913,1077
"40",1925,"LAWRENCE",0.0104240701255627,1079
"41",1925,"LEE",0.00563856780377784,1081
"42",1925,"LIMESTONE",0.0142726440988106,1083
"43",1925,"LOWNDES",0.0111731843575419,1085
"44",1925,"MACON",0.00380831482069184,1087
"45",1925,"MADISON",0.028323892035988,1089
"46",1925,"MARENGO",0.00743121108656357,1091
"47",1925,"MARION",0.0047603935258648,1093
"48",1925,"MARSHALL",0.0167198947961676,1095
"49",1925,"MOBILE",0.0733628754308223,1097
"50",1925,"MONROE",0.00609917793688677,1099
"51",1925,"MONTGOMERY",0.0143551236749117,1101
"52",1925,"MORGAN/COTACO",0.0170172536043489,1103
"53",1925,"PERRY",0.0112393681652491,1105
"54",1925,"PICKENS",0.0114480198019802,1107
"55",1925,"PIKE",0.00445831475702185,1109
